,precision,recall,f1-score,support
Background,0.9992803382410267,1.0,0.9996400395956445,33325.0
Vegetation,0.9384619769695588,0.9879969992498124,0.9625926413191247,33325.0
Stairways,0.9994167485265226,0.9769542385596399,0.988057844342271,33325.0
Drainage,0.9715710259824719,0.9414253563390848,0.9562606681297244,33325.0
accuracy,0.9765941485371343,0.9765941485371343,0.9765941485371343,0.9765941485371343
macro avg,0.9771825224298951,0.9765941485371342,0.9766377983466912,133300.0
weighted avg,0.977182522429895,0.9765941485371343,0.9766377983466912,133300.0
