,precision,recall,f1-score,support
NotVegetation,0.995038510126737,0.9769342335583896,0.9859032660209659,99975.0
Vegetation,0.9343842476667426,0.9853863465866467,0.9592078166761601,33325.0
accuracy,0.9790472618154539,0.9790472618154539,0.9790472618154539,0.9790472618154539
macro avg,0.9647113788967399,0.9811602900725181,0.9725555413485629,133300.0
weighted avg,0.9798749445117385,0.9790472618154539,0.9792294036847645,133300.0
