Feature,Importance
gaussian 7,0.21830065656827624
gaussian 12,0.20374199190939668
gaussian 3,0.12060845202949445
median 7,0.10983731119563733
gndvi,0.10054611551371521
ndvi,0.06401393946942802
ndwi,0.05402222185649618
rededge,0.041270764842210865
nir,0.019544390834139346
green,0.011692537379326315
gaussian 15,0.011539970003776516
