Feature,Importance
rededge,0.14719988028451075
ndwi,0.13692949690172437
green,0.11908260903459784
nir,0.09771591403177758
gaussian 3,0.06878579712681264
red,0.06818308455574962
gray,0.06771374138210759
median 7,0.056482846750541646
asm,0.04219711948231672
gndvi,0.04019920421041076
ndre,0.03908321680806851
gaussian 7,0.03800940063082152
gaussian 12,0.02261166502466215
ndvi,0.014110546230159364
gaussian 15,0.014075885196742004
blue,0.012331142380607243
